take_id,piece,section,take,n_singers,n_pairs,duration_sec,mean_coupling,max_coupling,min_coupling,singers_extracted,singers_reused
LI_Basses_Take01,LI,Basses,Take01,5,10,58.77,0.8007,0.8656,0.7392,0,5
LI_Basses_Take02,LI,Basses,Take02,5,10,55.94,0.7814,0.872,0.6927,5,0
LI_Basses_Take03,LI,Basses,Take03,4,6,56.47,0.7819,0.8026,0.7661,4,0
LI_Basses_Take04,LI,Basses,Take04,4,6,54.78,0.8238,0.8403,0.7948,4,0
LI_Basses_Take05,LI,Basses,Take05,2,1,53.2,0.8684,0.8684,0.8684,2,0
LI_FullChoir_Take01,LI,FullChoir,Take01,8,28,151.86,0.5901,0.8309,0.4076,8,0
LI_FullChoir_Take02,LI,FullChoir,Take02,8,28,146.19,0.6029,0.7851,0.3775,8,0
LI_FullChoir_Take03,LI,FullChoir,Take03,8,28,144.15,0.5855,0.8196,0.401,8,0
LI_QuartetA_Take01,LI,QuartetA,Take01,4,6,145.4,0.6501,0.7989,0.5456,4,0
LI_QuartetA_Take02,LI,QuartetA,Take02,4,6,143.31,0.6267,0.7699,0.416,0,4
LI_QuartetA_Take03,LI,QuartetA,Take03,4,6,142.15,0.6333,0.748,0.4995,4,0
LI_QuartetA_Take04,LI,QuartetA,Take04,4,6,141.48,0.6435,0.7858,0.4463,4,0
LI_QuartetA_Take05,LI,QuartetA,Take05,4,6,142.45,0.6401,0.7412,0.4614,4,0
LI_QuartetA_Take06,LI,QuartetA,Take06,4,6,144.57,0.6188,0.781,0.4317,4,0
LI_QuartetB_Take01,LI,QuartetB,Take01,4,6,143.78,0.6446,0.8173,0.4326,4,0
LI_QuartetB_Take02,LI,QuartetB,Take02,4,6,141.76,0.6286,0.8142,0.3639,4,0
LI_QuartetB_Take03,LI,QuartetB,Take03,4,6,140.29,0.5812,0.772,0.318,4,0
LI_QuartetB_Take04,LI,QuartetB,Take04,4,6,139.99,0.5375,0.7003,0.3593,4,0
LI_QuartetB_Take05,LI,QuartetB,Take05,4,6,140.71,0.6008,0.8266,0.3796,4,0
TP_FullChoir_Take01,TP,FullChoir,Take01,8,28,73.35,0.3966,0.7289,0.1661,8,0
TP_FullChoir_Take02,TP,FullChoir,Take02,8,28,70.64,0.4172,0.7411,0.2161,8,0
TP_FullChoir_Take03,TP,FullChoir,Take03,8,28,69.47,0.4469,0.7271,0.2259,8,0
TP_FullChoir_Take04,TP,FullChoir,Take04,8,28,70.52,0.4354,0.7425,0.2288,8,0
TP_QuartetA_Take01,TP,QuartetA,Take01,4,6,75.58,0.5298,0.6965,0.3453,4,0
TP_QuartetA_Take02,TP,QuartetA,Take02,4,6,75.05,0.4903,0.5863,0.2768,4,0
